word,count,FAC,date,article_index
Guantanamo_2003-12-03_2429,26,Guantanamo,2003-12-03,2429
Mir_2001-03-22_285,23,Mir,2001-03-22,285
Familia_2009-07-18_4562,14,Familia,2009-07-18,4562
La_2009-07-18_4562,14,La,2009-07-18,4562
Guantanamo_2004-03-14_2498,13,Guantanamo,2004-03-14,2498
Guantanamo_2014-06-09_7258,11,Guantanamo,2014-06-09,7258
Guantánamo_2009-05-21_4470,10,Guantánamo,2009-05-21,4470
Guantánamo_2009-11-12_4846,9,Guantánamo,2009-11-12,4846
Guantánamo_2015-02-05_7549,9,Guantánamo,2015-02-05,7549
Mir_2001-11-12_1268,8,Mir,2001-11-12,1268
Mir_2012-11-26_6547,8,Mir,2012-11-26,6547
Guantanamo_2004-03-06_2487,8,Guantanamo,2004-03-06,2487
Guantánamo_2018-12-13_8430,7,Guantánamo,2018-12-13,8430
Guantanamo_2005-02-06_2694,7,Guantanamo,2005-02-06,2694
Guantánamo_2013-04-20_6708,7,Guantánamo,2013-04-20,6708
Guantanamo_2005-09-25_2795,7,Guantanamo,2005-09-25,2795
Mir_2018-12-13_8430,7,Mir,2018-12-13,8430
Guantanamo_2004-03-14_2499,7,Guantanamo,2004-03-14,2499
Guantanamo_2003-07-19_2345,7,Guantanamo,2003-07-19,2345
David_2012-05-21_6322,6,David,2012-05-21,6322
Gwadar_2011-04-08_5793,6,Gwadar,2011-04-08,5793
Guantanamo_2004-02-12_2471,6,Guantanamo,2004-02-12,2471
Hood_2014-04-03_7135,6,Hood,2014-04-03,7135
Camp_2012-05-21_6322,6,Camp,2012-05-21,6322
Fort_2014-04-03_7135,6,Fort,2014-04-03,7135
Mir_2014-04-23_7161,6,Mir,2014-04-23,7161
Guantánamo_2015-08-25_7717,6,Guantánamo,2015-08-25,7717
Guantánamo_2005-08-06_2777,6,Guantánamo,2005-08-06,2777
Guantánamo_2016-11-03_8053,6,Guantánamo,2016-11-03,8053
Mir_2014-08-29_7341,6,Mir,2014-08-29,7341
Guantanamo_2003-04-23_2286,6,Guantanamo,2003-04-23,2286
Guantánamo_2020-12-13_8731,6,Guantánamo,2020-12-13,8731
Delta_2003-07-19_2345,6,Delta,2003-07-19,2345
Guantanamo_2014-06-01_7214,6,Guantanamo,2014-06-01,7214
Guantanamo_2002-10-30_2142,6,Guantanamo,2002-10-30,2142
Camp_2003-07-19_2345,6,Camp,2003-07-19,2345
La_2010-07-19_5213,6,La,2010-07-19,5213
Familia_2010-07-19_5213,6,Familia,2010-07-19,5213
Guantanamo_2007-03-18_3261,5,Guantanamo,2007-03-18,3261
Guantánamo_2014-10-02_7390,5,Guantánamo,2014-10-02,7390
Port_2016-06-13_7979,5,Port,2016-06-13,7979
Camp_2012-03-14_6244,5,Camp,2012-03-14,6244
Street_2003-01-11_2198,5,Street,2003-01-11,2198
Lucie_2016-06-13_7979,5,Lucie,2016-06-13,7979
Guantanamo_2010-12-01_5560,5,Guantanamo,2010-12-01,5560
Guantánamo_2012-01-01_6165,5,Guantánamo,2012-01-01,6165
Camp_2005-03-19_2705,5,Camp,2005-03-19,2705
Guantanamo_2012-01-10_6174,5,Guantanamo,2012-01-10,6174
Guantánamo_2017-02-22_8132,5,Guantánamo,2017-02-22,8132
Ellwood_2021-09-04_9386,5,Ellwood,2021-09-04,9386
Park_2007-07-10_3389,5,Park,2007-07-10,3389
Finsbury_2007-07-10_3389,5,Finsbury,2007-07-10,3389
Bastion_2012-07-18_6377,5,Bastion,2012-07-18,6377
Street_2015-09-05_7728,5,Street,2015-09-05,7728
Main_2003-01-11_2198,5,Main,2003-01-11,2198
Square_2010-05-04_5070,5,Square,2010-05-04,5070
Camp_2012-07-18_6377,5,Camp,2012-07-18,6377
Finsbury_2007-07-09_3388,5,Finsbury,2007-07-09,3388
Gitmo_2014-06-03_7226,5,Gitmo,2014-06-03,7226
Guantánamo_2013-04-20_6707,5,Guantánamo,2013-04-20,6707
Guantánamo_2012-10-08_6471,5,Guantánamo,2012-10-08,6471
Guantánamo_2008-05-07_3856,5,Guantánamo,2008-05-07,3856
Times_2010-05-04_5070,5,Times,2010-05-04,5070
Fenchurch_2015-09-05_7728,5,Fenchurch,2015-09-05,7728
Mir_2014-04-27_7169,5,Mir,2014-04-27,7169
Mir_2014-04-23_7164,5,Mir,2014-04-23,7164
Bahria_2019-07-08_8486,5,Bahria,2019-07-08,8486
Town_2019-07-08_8486,5,Town,2019-07-08,8486
Le_2010-12-07_5609,5,Le,2010-12-07,5609
Camp_2004-03-14_2499,5,Camp,2004-03-14,2499
Park_2007-07-09_3388,5,Park,2007-07-09,3388
Guantánamo_2007-04-26_3299,5,Guantánamo,2007-04-26,3299
Guantánamo_2009-09-05_4682,5,Guantánamo,2009-09-05,4682
Hill_2021-10-02_9554,5,Hill,2021-10-02,9554
Menwith_2021-10-02_9554,5,Menwith,2021-10-02,9554
Mir_2001-11-14_1304,4,Mir,2001-11-14,1304
Guantanamo_2003-07-18_2343,4,Guantanamo,2003-07-18,2343
Guantanamo_2003-07-19_2344,4,Guantanamo,2003-07-19,2344
Salerno_2005-03-19_2705,4,Salerno,2005-03-19,2705
Vatican_2003-08-01_2350,4,Vatican,2003-08-01,2350
Guantanamo_2002-01-21_1703,4,Guantanamo,2002-01-21,1703
Guantánamo_2015-02-19_7567,4,Guantánamo,2015-02-19,7567
Square_2005-07-10_2755,4,Square,2005-07-10,2755
Fleet_2014-07-16_7305,4,Fleet,2014-07-16,7305
Road_2011-05-06_5857,4,Road,2011-05-06,5857
Edgware_2011-05-06_5857,4,Edgware,2011-05-06,5857
Guantánamo_2011-04-25_5809,4,Guantánamo,2011-04-25,5809
Guantanamo_2002-07-29_2008,4,Guantanamo,2002-07-29,2008
Square_2013-11-08_6971,4,Square,2013-11-08,6971
Camp_2003-08-09_2355,4,Camp,2003-08-09,2355
Guantánamo_2014-06-11_7263,4,Guantánamo,2014-06-11,7263
Bay_2009-09-05_4682,4,Bay,2009-09-05,4682
Square_2016-02-23_7890,4,Square,2016-02-23,7890
Camp_2014-10-28_7427,4,Camp,2014-10-28,7427
Telegraph_2006-08-04_3002,4,Telegraph,2006-08-04,3002
Victoria_2016-02-23_7890,4,Victoria,2016-02-23,7890
Camp_2011-12-20_6155,4,Camp,2011-12-20,6155
Guantánamo_2009-09-11_4702,4,Guantánamo,2009-09-11,4702
Bastion_2012-03-14_6244,4,Bastion,2012-03-14,6244
Bastion_2014-10-26_7422,4,Bastion,2014-10-26,7422
Square_2016-02-27_7895,4,Square,2016-02-27,7895
Camp_2014-10-26_7422,4,Camp,2014-10-26,7422
Guantanamo_2004-03-21_2511,4,Guantanamo,2004-03-21,2511
Bastion_2011-12-20_6155,4,Bastion,2011-12-20,6155
Guantanamo_2004-02-19_2474,4,Guantanamo,2004-02-19,2474
Guantánamo_2007-08-08_3441,4,Guantánamo,2007-08-08,3441
Delta_2003-08-09_2355,4,Delta,2003-08-09,2355
Bastion_2012-09-20_6448,4,Bastion,2012-09-20,6448
Telegraph_2001-11-07_1221,4,Telegraph,2001-11-07,1221
Street_2014-07-16_7305,4,Street,2014-07-16,7305
Guantánamo_2014-06-09_7258,4,Guantánamo,2014-06-09,7258
Park_2002-01-27_1727,4,Park,2002-01-27,1727
Guantánamo_2004-07-05_2577,4,Guantánamo,2004-07-05,2577
Road_2009-02-04_4266,4,Road,2009-02-04,4266
St_2016-06-13_7979,4,St,2016-06-13,7979
Finsbury_2002-01-27_1727,4,Finsbury,2002-01-27,1727
Camp_2014-11-09_7438,4,Camp,2014-11-09,7438
Palace_2003-11-16_2412,4,Palace,2003-11-16,2412
Camp_2010-12-07_5607,4,Camp,2010-12-07,5607
Guantánamo_2011-04-25_5820,4,Guantánamo,2011-04-25,5820
Buckingham_2003-11-16_2412,4,Buckingham,2003-11-16,2412
Gitmo_2012-09-11_6422,4,Gitmo,2012-09-11,6422
Delta_2002-09-09_2056,4,Delta,2002-09-09,2056
Camp_2002-09-09_2056,4,Camp,2002-09-09,2056
Guantánamo_2016-01-06_7859,4,Guantánamo,2016-01-06,7859
Camp_2008-12-19_4222,4,Camp,2008-12-19,4222
Victoria_2016-02-27_7895,4,Victoria,2016-02-27,7895
Bastion_2010-12-07_5607,4,Bastion,2010-12-07,5607
Downing_2008-03-15_3796,4,Downing,2008-03-15,3796
Camp_2009-01-23_4250,4,Camp,2009-01-23,4250
Tiananmen_2013-11-08_6971,4,Tiananmen,2013-11-08,6971
Tavistock_2005-07-10_2755,4,Tavistock,2005-07-10,2755
Camp_2012-09-20_6448,4,Camp,2012-09-20,6448
Street_2008-03-15_3796,4,Street,2008-03-15,3796
Monde_2010-12-07_5609,4,Monde,2010-12-07,5609
Bay_2013-04-20_6707,4,Bay,2013-04-20,6707
Telegraph_2001-12-04_1507,4,Telegraph,2001-12-04,1507
Guantanamo_2002-01-23_1712,4,Guantanamo,2002-01-23,1712
Bastion_2009-01-23_4250,4,Bastion,2009-01-23,4250
Guantanamo_2004-02-19_2473,3,Guantanamo,2004-02-19,2473
Palace_2004-12-19_2681,3,Palace,2004-12-19,2681
Guantanamo_2003-08-09_2355,3,Guantanamo,2003-08-09,2355
Guantánamo_2011-04-25_5811,3,Guantánamo,2011-04-25,5811
Square_2012-07-10_6369,3,Square,2012-07-10,6369
Guantánamo_2011-04-25_5812,3,Guantánamo,2011-04-25,5812
Telegraph_2007-12-24_3632,3,Telegraph,2007-12-24,3632
Guantánamo_2011-04-25_5818,3,Guantánamo,2011-04-25,5818
