headline,url,date
Taliban poised to overrun Afghan capital,https://www.theguardian.com/theguardian/1996/sep/26/fromthearchive,1996-09-26
Key suspected terrorists face American justice,https://www.theguardian.com/world/1997/jun/19/alqaida.terrorism,1997-06-19
Taliban near total victory,https://www.theguardian.com/world/1998/aug/04/1,1998-08-04
America's No 1 target: Osama bin Laden,https://www.theguardian.com/world/1998/aug/21/alqaida.terrorism,1998-08-21
Clinton takes revenge,https://www.theguardian.com/world/1998/aug/21/usa.edvulliamy,1998-08-21
'The United States wants to kill a whole nation for one man',https://www.theguardian.com/world/1998/aug/22/alqaida.terrorism,1998-08-22
"'From this day on, a new war starts against the US and Americans'",https://www.theguardian.com/world/1998/aug/22/suzannegoldenberg,1998-08-22
Bin Laden allegedly planned to kill Clinton,https://www.theguardian.com/world/1998/aug/26/alqaida.terrorism,1998-08-26
Bin Laden allegedly planned to kill Clinton,https://www.theguardian.com/world/1998/aug/26/usa.garyyounge,1998-08-26
Holy war against heretics and naked toes,https://www.theguardian.com/world/1998/aug/28/1,1998-08-28
Martin Woollacott: Whiff of fear,https://www.theguardian.com/world/1998/aug/29/alqaida.terrorism,1998-08-29
Execution draws crowds where TV is banned,https://www.theguardian.com/world/1998/sep/01/2,1998-09-01
Taliban army menaces Central Asia,https://www.theguardian.com/world/1998/sep/01/1,1998-09-01
Taliban 'executed thousands as troops took northern city',https://www.theguardian.com/world/1998/sep/04/1,1998-09-04
Pakistan teeters on brink of coup,https://www.theguardian.com/world/1998/sep/06/shyambhatia,1998-09-06
Britain gets closer to Iran,https://www.theguardian.com/world/1998/sep/08/ianblack,1998-09-08
Defiant Taliban say they are ready for the counter-attack as Tehran puts army on war footing,https://www.theguardian.com/world/1998/sep/16/3,1998-09-16
Tehran puts army on war footing,https://www.theguardian.com/world/1998/sep/16/1,1998-09-16
Funerals fuel Iran's rage at Taliban,https://www.theguardian.com/world/1998/sep/19/suzannegoldenberg,1998-09-19
Eyewitness to the Taliban,https://www.theguardian.com/world/1998/sep/26/2,1998-09-26
Getting round the Taliban,https://www.theguardian.com/world/1998/oct/01/1,1998-10-01
Where Iran meets Taliban,https://www.theguardian.com/world/1998/oct/05/1,1998-10-05
Heart of darkness,https://www.theguardian.com/world/1998/oct/13/3,1998-10-13
News in brief,https://www.theguardian.com/uk/1998/dec/31/5,1998-12-31
Full profile,https://www.theguardian.com/global/1999/jan/16/jason.burke,1999-01-16
Time running out for Taliban to agree UN return,https://www.theguardian.com/world/1999/jan/26/unitednations.afghanistan,1999-01-26
Time running out for Taliban to agree UN return,https://www.theguardian.com/world/1999/jan/26/2,1999-01-26
News in Brief,https://www.theguardian.com/world/1999/feb/03/5,1999-02-03
US asks Taliban to dump terrorist,https://www.theguardian.com/world/1999/feb/04/ianblack.suzannegoldenberg,1999-02-04
The Western nightmare: Saddam and Bin Laden versus the world,https://www.theguardian.com/world/1999/feb/06/alqaida.terrorism,1999-02-06
Saddam link to Bin Laden,https://www.theguardian.com/world/1999/feb/06/julianborger,1999-02-06
Saddam link to Bin Laden,https://www.theguardian.com/world/1999/feb/06/iraq.osamabinladen,1999-02-06
The Western nightmare: Saddam and Bin Laden versus the world,https://www.theguardian.com/world/1999/feb/06/osamabinladen.alqaida,1999-02-06
News in brief,https://www.theguardian.com/world/1999/feb/13/7,1999-02-13
The quiet triumph,https://www.theguardian.com/books/1999/feb/13/salmanrushdie,1999-02-13
Briton pleads guilty to Yemen terrorism,https://www.theguardian.com/world/1999/feb/14/burhanwazir.martinbright,1999-02-14
Bin Laden may be on way to Iraq,https://www.theguardian.com/world/1999/feb/15/afghanistan,1999-02-15
Bin Laden may be on way to Iraq,https://www.theguardian.com/world/1999/feb/15/osamabinladen.alqaida,1999-02-15
"Bin Laden has 'probably' left the country, Taliban say",https://www.theguardian.com/world/1999/feb/18/afghanistan,1999-02-18
US intelligence 'foiled Bin Laden terrorist attacks',https://www.theguardian.com/world/1999/feb/25/martinkettle,1999-02-25
Bin Laden lies low in Afghan rocky lair,https://www.theguardian.com/world/1999/mar/01/7,1999-03-01
Bin Laden lies low in Afghan rocky lair,https://www.theguardian.com/world/1999/mar/01/osamabinladen.alqaida,1999-03-01
Bin Laden lies low in Afghan rocky lair,https://www.theguardian.com/world/1999/mar/01/8,1999-03-01
Red faces over asylum seekers' Red Nose cash,https://www.theguardian.com/uk/1999/mar/14/immigrationpolicy,1999-03-14
