word,count,FAC,date,article_index
mir_2016-04-13_17834,28,mir,2016-04-13,17834
Guantanamo_2009-05-21_12769,27,Guantanamo,2009-05-21,12769
Guantánamo_2004-06-21_5907,22,Guantánamo,2004-06-21,5907
Sphinx_2002-04-28_3944,20,Sphinx,2002-04-28,3944
Guantánamo_2006-09-13_8307,19,Guantánamo,2006-09-13,8307
Siatta_2016-12-28_18111,19,Siatta,2016-12-28,18111
Guantánamo_2006-09-17_8323,19,Guantánamo,2006-09-17,8323
Guantánamo_2006-09-17_8324,19,Guantánamo,2006-09-17,8324
Guantánamo_2004-10-25_6293,17,Guantánamo,2004-10-25,6293
Guantánamo_2016-11-12_18076,17,Guantánamo,2016-11-12,18076
Broadway_2021-09-17_21011,17,Broadway,2021-09-17,21011
Guantanamo_2006-02-20_7342,17,Guantanamo,2006-02-20,7342
Guantanamo_2006-09-06_8222,16,Guantanamo,2006-09-06,8222
Camp_2006-09-17_8324,14,Camp,2006-09-17,8324
Camp_2006-09-13_8307,14,Camp,2006-09-13,8307
Camp_2006-09-17_8323,14,Camp,2006-09-17,8323
Camp_2019-09-10_19513,13,Camp,2019-09-10,19513
Guantanamo_2004-10-11_6229,12,Guantanamo,2004-10-11,6229
David_2019-09-10_19513,12,David,2019-09-10,19513
Camp_2000-12-24_559,12,Camp,2000-12-24,559
Street_2006-10-20_8542,11,Street,2006-10-20,8542
Beach_2000-12-24_559,11,Beach,2000-12-24,559
Broadway_2006-10-20_8542,11,Broadway,2006-10-20,8542
Guantánamo_2008-02-18_10558,11,Guantánamo,2008-02-18,10558
Avenue_2010-12-09_14584,11,Avenue,2010-12-09,14584
District_2020-06-04_19882,11,District,2020-06-04,19882
Avenue_2006-10-20_8542,10,Avenue,2006-10-20,8542
Guantánamo_2007-06-10_9468,10,Guantánamo,2007-06-10,9468
Main_2007-04-15_9300,10,Main,2007-04-15,9300
Street_2007-04-15_9300,10,Street,2007-04-15,9300
Camp_2019-05-15_19310,10,Camp,2019-05-15,19310
District_2019-10-04_19572,10,District,2019-10-04,19572
Main_2007-04-15_9299,10,Main,2007-04-15,9299
Street_2007-04-15_9299,10,Street,2007-04-15,9299
Kam_2018-01-26_18633,9,Kam,2018-01-26,18633
Guantánamo_2008-02-18_10557,9,Guantánamo,2008-02-18,10557
Guantánamo_2008-02-18_10556,9,Guantánamo,2008-02-18,10556
Port_2009-12-04_13505,9,Port,2009-12-04,13505
Air_2018-01-26_18633,9,Air,2018-01-26,18633
Harcourt_2009-12-04_13505,9,Harcourt,2009-12-04,13505
Guantánamo_2003-12-16_5444,9,Guantánamo,2003-12-16,5444
Meute_2017-04-06_18214,9,Meute,2017-04-06,18214
La_2017-04-06_18214,9,La,2017-04-06,18214
Guantánamo_2016-07-29_17959,8,Guantánamo,2016-07-29,17959
Guantánamo_2006-06-23_7818,8,Guantánamo,2006-06-23,7818
District_2020-05-07_19849,8,District,2020-05-07,19849
Fort_2017-06-12_18293,8,Fort,2017-06-12,18293
Guantánamo_2007-06-10_9467,8,Guantánamo,2007-06-10,9467
Al_2004-03-23_5669,8,Al,2004-03-23,5669
Qaida_2004-03-23_5669,8,Qaida,2004-03-23,5669
Times_2010-05-21_14005,8,Times,2010-05-21,14005
Square_2010-05-21_14005,8,Square,2010-05-21,14005
District_2020-08-06_19978,8,District,2020-08-06,19978
Guantánamo_2005-05-30_6680,8,Guantánamo,2005-05-30,6680
District_2019-11-07_19607,8,District,2019-11-07,19607
Camp_2019-09-08_19497,7,Camp,2019-09-08,19497
Guantánamo_2019-06-01_19346,7,Guantánamo,2019-06-01,19346
Guantánamo_2014-06-07_16743,7,Guantánamo,2014-06-07,16743
Square_2010-05-03_13951,7,Square,2010-05-03,13951
David_2019-09-08_19497,7,David,2019-09-08,19497
Mir_2012-08-16_15703,7,Mir,2012-08-16,15703
Avenue_2015-09-25_17460,7,Avenue,2015-09-25,17460
xxxxx_2006-12-22_8827,7,xxxxx,2006-12-22,8827
Times_2010-05-08_13967,7,Times,2010-05-08,13967
Square_2010-05-08_13967,7,Square,2010-05-08,13967
Aryana_2002-04-28_3936,7,Aryana,2002-04-28,3936
Fort_2018-08-08_18853,7,Fort,2018-08-08,18853
Road_2006-06-23_7818,7,Road,2006-06-23,7818
Guantánamo_2006-06-23_7817,7,Guantánamo,2006-06-23,7817
Guantanamo_2006-06-10_7732,7,Guantanamo,2006-06-10,7732
Camp_2021-05-28_20312,7,Camp,2021-05-28,20312
Al_2004-04-13_5743,7,Al,2004-04-13,5743
Qaida_2004-04-13_5743,7,Qaida,2004-04-13,5743
Guantánamo_2006-04-30_7555,7,Guantánamo,2006-04-30,7555
Guantánamo_2006-04-30_7554,7,Guantánamo,2006-04-30,7554
Guantánamo_2013-12-12_16453,7,Guantánamo,2013-12-12,16453
Guantánamo_2006-04-30_7553,7,Guantánamo,2006-04-30,7553
Guantánamo_2016-10-08_18043,7,Guantánamo,2016-10-08,18043
Guantánamo_2006-01-08_7226,7,Guantánamo,2006-01-08,7226
Bastion_2019-05-15_19310,7,Bastion,2019-05-15,19310
Street_2010-06-18_14091,7,Street,2010-06-18,14091
Hood_2019-12-06_19642,7,Hood,2019-12-06,19642
Fort_2019-12-06_19642,7,Fort,2019-12-06,19642
Guantánamo_2020-11-18_20078,7,Guantánamo,2020-11-18,20078
Shannon_2011-09-23_15181,7,Shannon,2011-09-23,15181
Guantánamo_2013-12-31_16472,6,Guantánamo,2013-12-31,16472
Guantánamo_2003-10-01_5259,6,Guantánamo,2003-10-01,5259
Ramstein_2021-09-01_20892,6,Ramstein,2021-09-01,20892
Guantánamo_2004-06-22_5909,6,Guantánamo,2004-06-22,5909
Hood_2013-06-06_16182,6,Hood,2013-06-06,16182
Times_2004-07-22_5980,6,Times,2004-07-22,5980
Square_2004-07-22_5980,6,Square,2004-07-22,5980
Guantánamo_2004-07-04_5951,6,Guantánamo,2004-07-04,5951
Fort_2013-06-06_16182,6,Fort,2013-06-06,16182
Guantánamo_2014-12-24_17085,6,Guantánamo,2014-12-24,17085
Hood_2014-04-09_16623,6,Hood,2014-04-09,16623
Guantánamo_2004-10-24_6289,6,Guantánamo,2004-10-24,6289
Mountain_2021-08-19_20657,6,Mountain,2021-08-19,20657
Hood_2018-08-08_18853,6,Hood,2018-08-08,18853
Road_2006-06-23_7817,6,Road,2006-06-23,7817
Guantánamo_2011-04-25_14854,6,Guantánamo,2011-04-25,14854
Guantánamo_2002-01-04_3092,6,Guantánamo,2002-01-04,3092
Square_2002-04-28_3936,6,Square,2002-04-28,3936
Camp_2012-01-26_15382,6,Camp,2012-01-26,15382
Lemonnier_2012-01-26_15382,6,Lemonnier,2012-01-26,15382
Guantánamo_2008-11-03_11909,6,Guantánamo,2008-11-03,11909
Sports_2021-08-19_20657,6,Sports,2021-08-19,20657
Camp_2019-09-09_19508,6,Camp,2019-09-09,19508
Times_2010-05-03_13951,6,Times,2010-05-03,13951
Bissau_2010-04-09_13906,6,Bissau,2010-04-09,13906
Guinea_2010-04-09_13906,6,Guinea,2010-04-09,13906
Port_2000-06-18_487,6,Port,2000-06-18,487
Guantánamo_2006-12-31_8865,6,Guantánamo,2006-12-31,8865
Guantánamo_2006-12-31_8866,6,Guantánamo,2006-12-31,8866
Guantanamo_2005-01-11_6420,6,Guantanamo,2005-01-11,6420
Guantánamo_2007-07-23_9686,6,Guantánamo,2007-07-23,9686
Guantánamo_2004-06-15_5887,6,Guantánamo,2004-06-15,5887
Winthrop_2021-08-19_20657,6,Winthrop,2021-08-19,20657
Guantánamo_2004-04-21_5768,6,Guantánamo,2004-04-21,5768
Fort_2014-04-09_16623,6,Fort,2014-04-09,16623
Lemonnier_2014-05-06_16656,6,Lemonnier,2014-05-06,16656
Guantánamo_2007-06-10_9466,6,Guantánamo,2007-06-10,9466
Camp_2014-05-06_16656,6,Camp,2014-05-06,16656
Al_2004-03-24_5683,6,Al,2004-03-24,5683
Qaida_2004-03-24_5683,6,Qaida,2004-03-24,5683
Guantánamo_2009-05-20_12764,5,Guantánamo,2009-05-20,12764
Memorial_2021-09-09_20957,5,Memorial,2021-09-09,20957
Camp_2013-03-03_16025,5,Camp,2013-03-03,16025
Street_2002-09-20_4441,5,Street,2002-09-20,4441
District_2021-03-04_20173,5,District,2021-03-04,20173
Camp_2016-01-11_17685,5,Camp,2016-01-11,17685
Guantánamo_2008-02-05_10492,5,Guantánamo,2008-02-05,10492
Drum_2011-05-28_14962,5,Drum,2011-05-28,14962
Guantánamo_2008-02-05_10493,5,Guantánamo,2008-02-05,10493
Guantánamo_2008-11-03_11910,5,Guantánamo,2008-11-03,11910
Guantánamo_2006-02-17_7335,5,Guantánamo,2006-02-17,7335
Road_2008-11-03_11899,5,Road,2008-11-03,11899
Abu_2006-02-20_7342,5,Abu,2006-02-20,7342
Hall_2008-11-03_11899,5,Hall,2008-11-03,11899
Road_2008-11-03_11898,5,Road,2008-11-03,11898
Hall_2008-11-03_11898,5,Hall,2008-11-03,11898
Ghraib_2006-02-20_7342,5,Ghraib,2006-02-20,7342
Guantánamo_2009-01-15_12242,5,Guantánamo,2009-01-15,12242
Fort_2011-05-28_14962,5,Fort,2011-05-28,14962
Fort_2013-06-04_16179,5,Fort,2013-06-04,16179
David_2019-09-08_19498,5,David,2019-09-08,19498
Bastion_2016-04-10_17830,5,Bastion,2016-04-10,17830
Camp_2016-04-10_17830,5,Camp,2016-04-10,17830
Guantánamo_2005-11-08_7111,5,Guantánamo,2005-11-08,7111
Guantanamo_2009-03-07_12515,5,Guantanamo,2009-03-07,12515
Mir_2009-02-01_12299,5,Mir,2009-02-01,12299
Mir_2009-02-01_12300,5,Mir,2009-02-01,12300
Guantánamo_2005-01-23_6448,5,Guantánamo,2005-01-23,6448
Guantánamo_2008-08-10_11255,5,Guantánamo,2008-08-10,11255
Hood_2015-01-01_17096,5,Hood,2015-01-01,17096
Fort_2015-01-01_17096,5,Fort,2015-01-01,17096
Guantanamo_2006-05-19_7625,5,Guantanamo,2006-05-19,7625
Park_2015-09-25_17460,5,Park,2015-09-25,17460
Guantánamo_2008-01-07_10391,5,Guantánamo,2008-01-07,10391
Guantánamo_2011-04-25_14855,5,Guantánamo,2011-04-25,14855
Bhai_2005-01-23_6445,5,Bhai,2005-01-23,6445
Bangla_2005-01-23_6445,5,Bangla,2005-01-23,6445
Fort_2016-04-21_17846,5,Fort,2016-04-21,17846
Guantanamo_2009-03-08_12521,5,Guantanamo,2009-03-08,12521
Camp_2019-09-08_19498,5,Camp,2019-09-08,19498
Hood_2013-06-04_16179,5,Hood,2013-06-04,16179
Square_2001-10-08_1248,5,Square,2001-10-08,1248
International_2014-07-22_16844,5,International,2014-07-22,16844
Times_2010-05-05_13955,5,Times,2010-05-05,13955
Guantánamo_2020-06-27_19901,5,Guantánamo,2020-06-27,19901
Garden_2010-06-21_14098,5,Garden,2010-06-21,14098
Street_2018-04-22_18724,5,Street,2018-04-22,18724
Milam_2007-01-21_8940,5,Milam,2007-01-21,8940
Park_2007-01-21_8940,5,Park,2007-01-21,8940
Park_2007-01-21_8941,5,Park,2007-01-21,8941
Guantánamo_2008-10-08_11697,5,Guantánamo,2008-10-08,11697
Guantánamo_2007-07-23_9684,5,Guantánamo,2007-07-23,9684
Bay_2005-05-30_6680,5,Bay,2005-05-30,6680
Camp_2001-09-16_852,5,Camp,2001-09-16,852
Milam_2007-01-21_8941,5,Milam,2007-01-21,8941
David_2001-09-16_852,5,David,2001-09-16,852
Hood_2009-11-21_13427,5,Hood,2009-11-21,13427
Camp_2001-09-16_853,5,Camp,2001-09-16,853
Square_2010-05-05_13955,5,Square,2010-05-05,13955
Avenue_2015-11-26_17603,5,Avenue,2015-11-26,17603
Jinnah_2014-07-22_16844,5,Jinnah,2014-07-22,16844
Fort_2009-11-21_13427,5,Fort,2009-11-21,13427
David_2019-09-09_19508,5,David,2019-09-09,19508
Finsbury_2001-10-04_1150,5,Finsbury,2001-10-04,1150
Hood_2009-11-15_13409,5,Hood,2009-11-15,13409
Plain_2001-11-04_1852,5,Plain,2001-11-04,1852
Mir_2011-08-11_15116,5,Mir,2011-08-11,15116
Park_2001-10-04_1150,5,Park,2001-10-04,1150
Camp_2014-09-01_16904,5,Camp,2014-09-01,16904
Guantánamo_2009-03-13_12549,5,Guantánamo,2009-03-13,12549
Shamali_2001-11-04_1852,5,Shamali,2001-11-04,1852
Hill_2002-02-24_3573,5,Hill,2002-02-24,3573
Guantánamo_2014-09-01_16904,5,Guantánamo,2014-09-01,16904
Anita_2002-02-24_3573,5,Anita,2002-02-24,3573
Fort_2009-11-15_13409,5,Fort,2009-11-15,13409
Bridge_2015-03-20_17213,5,Bridge,2015-03-20,17213
Guantánamo_2009-01-02_12201,4,Guantánamo,2009-01-02,12201
Guantánamo_2012-01-07_15347,4,Guantánamo,2012-01-07,15347
Camp_2016-12-28_18111,4,Camp,2016-12-28,18111
Wall_2003-04-21_4969,4,Wall,2003-04-21,4969
Guantánamo_2010-01-18_13676,4,Guantánamo,2010-01-18,13676
Berlin_2003-04-21_4969,4,Berlin,2003-04-21,4969
District_2020-11-05_20063,4,District,2020-11-05,20063
Sundown_2001-09-16_853,4,Sundown,2001-09-16,853
Fort_2010-06-27_14129,4,Fort,2010-06-27,14129
Guantánamo_2008-08-08_11246,4,Guantánamo,2008-08-08,11246
Ring_2016-05-14_17879,4,Ring,2016-05-14,17879
Cornelia_2006-10-20_8542,4,Cornelia,2006-10-20,8542
Drum_2016-04-21_17846,4,Drum,2016-04-21,17846
Guantánamo_2005-01-08_6413,4,Guantánamo,2005-01-08,6413
Times_2001-12-28_3011,4,Times,2001-12-28,3011
Guantánamo_2005-02-01_6468,4,Guantánamo,2005-02-01,6468
Bay_2005-01-11_6420,4,Bay,2005-01-11,6420
Square_2001-12-28_3011,4,Square,2001-12-28,3011
Avenue_2015-06-04_17305,4,Avenue,2015-06-04,17305
