word,count,GPE,date,article_index
Pakistan_2020-11-12_8704,91,Pakistan,2020-11-12,8704
Sudan_2021-08-26_9208,77,Sudan,2021-08-26,9208
Iraq_2003-02-05_2216,67,Iraq,2003-02-05,2216
India_2010-12-16_5639,61,India,2010-12-16,5639
Afghanistan_2013-02-04_6640,59,Afghanistan,2013-02-04,6640
India_2021-04-06_8758,54,India,2021-04-06,8758
Iraq_2004-05-25_2549,52,Iraq,2004-05-25,2549
India_2010-12-16_5636,51,India,2010-12-16,5636
India_2010-12-16_5642,49,India,2010-12-16,5642
Iran_2006-06-02_2927,47,Iran,2006-06-02,2927
Britain_2003-04-01_2268,43,Britain,2003-04-01,2268
Iraq_2002-03-15_1834,43,Iraq,2002-03-15,1834
Australia_2016-04-13_7934,42,Australia,2016-04-13,7934
Iraq_2006-03-19_2876,40,Iraq,2006-03-19,2876
Iran_2010-11-28_5514,40,Iran,2010-11-28,5514
India_2010-12-16_5635,40,India,2010-12-16,5635
Afghanistan_2001-10-22_1054,39,Afghanistan,2001-10-22,1054
UK_2010-11-30_5520,39,UK,2010-11-30,5520
Pakistan_2021-08-17_9016,39,Pakistan,2021-08-17,9016
Iran_2010-11-28_5513,39,Iran,2010-11-28,5513
Karzai_2010-12-02_5574,38,Karzai,2010-12-02,5574
U.S._2010-11-28_5511,37,U.S.,2010-11-28,5511
Afghanistan_2001-12-14_1575,37,Afghanistan,2001-12-14,1575
Pakistan_2010-11-30_5541,36,Pakistan,2010-11-30,5541
Gaza_2021-08-19_9066,36,Gaza,2021-08-19,9066
Pakistan_2010-12-01_5550,36,Pakistan,2010-12-01,5550
America_2004-09-03_2610,36,America,2004-09-03,2610
Pakistan_2013-07-01_6830,35,Pakistan,2013-07-01,6830
Afghanistan_2001-11-13_1283,35,Afghanistan,2001-11-13,1283
Afghanistan_2010-12-16_5642,34,Afghanistan,2010-12-16,5642
Pakistan_2010-11-30_5539,34,Pakistan,2010-11-30,5539
Afghanistan_2003-09-20_2379,34,Afghanistan,2003-09-20,2379
U.S._2010-11-28_5514,34,U.S.,2010-11-28,5514
Israel_2001-11-28_1464,34,Israel,2001-11-28,1464
Pakistan_2009-01-10_4237,34,Pakistan,2009-01-10,4237
Iraq_2008-07-16_3950,33,Iraq,2008-07-16,3950
Qatar_2012-07-07_6368,33,Qatar,2012-07-07,6368
Pakistan_2010-11-30_5535,32,Pakistan,2010-11-30,5535
Afghanistan_2002-07-29_2008,32,Afghanistan,2002-07-29,2008
TURKEY_2011-01-18_5681,32,TURKEY,2011-01-18,5681
Russia_2014-06-09_7248,31,Russia,2014-06-09,7248
Libya_2011-03-27_5770,31,Libya,2011-03-27,5770
Iraq_2006-03-21_2879,31,Iraq,2006-03-21,2879
Iraq_2008-07-19_3958,31,Iraq,2008-07-19,3958
Iran_2003-02-07_2218,31,Iran,2003-02-07,2218
Australia_2021-08-21_9118,30,Australia,2021-08-21,9118
Iraq_2004-03-05_2486,30,Iraq,2004-03-05,2486
Lebanon_2006-08-06_3005,29,Lebanon,2006-08-06,3005
Arabia_2010-12-01_5550,29,Arabia,2010-12-01,5550
Saudi_2010-12-01_5550,29,Saudi,2010-12-01,5550
U.S._2010-12-01_5550,29,U.S.,2010-12-01,5550
Karzai_2010-12-01_5543,29,Karzai,2010-12-01,5543
Afghanistan_2010-12-02_5575,29,Afghanistan,2010-12-02,5575
Afghanistan_2010-12-02_5585,29,Afghanistan,2010-12-02,5585
Pakistan_2011-09-18_6039,28,Pakistan,2011-09-18,6039
Afghanistan_2010-12-13_5620,28,Afghanistan,2010-12-13,5620
India_2021-09-13_9466,27,India,2021-09-13,9466
Pakistan_2011-05-09_5864,27,Pakistan,2011-05-09,5864
Pakistan_2010-11-30_5529,27,Pakistan,2010-11-30,5529
Britain_2004-10-21_2644,27,Britain,2004-10-21,2644
Pakistan_2010-11-30_5521,27,Pakistan,2010-11-30,5521
Syria_2010-10-13_5433,27,Syria,2010-10-13,5433
Kandahar_2010-12-02_5588,27,Kandahar,2010-12-02,5588
Pakistan_2011-11-29_6122,27,Pakistan,2011-11-29,6122
Afghanistan_2008-11-16_4177,27,Afghanistan,2008-11-16,4177
Afghanistan_2007-10-13_3528,27,Afghanistan,2007-10-13,3528
Pakistan_2008-12-03_4198,27,Pakistan,2008-12-03,4198
Tampa_2021-08-21_9118,27,Tampa,2021-08-21,9118
Pakistan_2009-06-14_4497,27,Pakistan,2009-06-14,4497
Britain_2009-09-23_4727,26,Britain,2009-09-23,4727
