headline,url,date
"New Afghan Force Takes Hold, Turning to Peace",https://www.nytimes.com/1995/02/16/world/new-afghan-force-takes-hold-turning-to-peace.html,1995-02-16
Afghan Force's Victories Overtake U.N. Peace Effort,https://www.nytimes.com/1995/02/19/world/afghan-force-s-victories-overtake-un-peace-effort.html,1995-02-19
"With Kabul Largely in Ruins, Afghans Get Respite From War",https://www.nytimes.com/1995/02/20/world/with-kabul-largely-in-ruins-afghans-get-respite-from-war.html,1995-02-20
NEWS SUMMARY,https://www.nytimes.com/1995/02/20/nyregion/news-summary-127995.html,1995-02-20
"As U.S. Aid Ends, Need of Afghan War Victims Persists",https://www.nytimes.com/1995/02/22/world/as-us-aid-ends-need-of-afghan-war-victims-persists.html,1995-02-22
U.N. Names 4 Afghan Royalists as Mediators,https://www.nytimes.com/1995/02/23/world/un-names-4-afghan-royalists-as-mediators.html,1995-02-23
Kabul Journal; 'The Ox' in Asylum: Satellite TV and Paperbacks,https://www.nytimes.com/1995/02/24/world/kabul-journal-the-ox-in-asylum-satellite-tv-and-paperbacks.html,1995-02-24
The World; Outside Hands Still Stir the Afghan Pot,https://www.nytimes.com/1995/02/26/weekinreview/the-world-outside-hands-still-stir-the-afghan-pot.html,1995-02-26
An Afghan Leader Is Warily Hopeful About Peace,https://www.nytimes.com/1995/03/05/world/an-afghan-leader-is-warily-hopeful-about-peace.html,1995-03-05
"Algeria, and the Islamic Challenge",https://www.nytimes.com/1995/03/06/opinion/algeria-and-the-islamic-challenge.html,1995-03-06
CITY OF ORPHANS,https://www.nytimes.com/1995/04/02/magazine/city-of-orphans.html,1995-04-02
Salvaging Afghanistan,https://www.nytimes.com/1995/04/22/opinion/salvaging-afghanistan.html,1995-04-22
Misery Is Still Afghanistan's Ruler,https://www.nytimes.com/1995/04/23/weekinreview/the-world-misery-is-still-afghanistan-s-ruler.html,1995-04-23
U.N. Should Think Again on Afghanistan,https://www.nytimes.com/1995/04/30/opinion/l-un-should-think-again-on-afghanistan-764195.html,1995-04-30
Islamic Rebels Renew a Siege To Win Kabul,https://www.nytimes.com/1995/10/16/world/islamic-rebels-renew-a-siege-to-win-kabul.html,1995-10-16
Women Being Forced From U.N. Workplaces in Afghanistan,https://www.nytimes.com/1995/11/08/world/women-being-forced-from-un-workplaces-in-afghanistan.html,1995-11-08
Rocket Attacks Kill 35 in Afghan Capital,https://www.nytimes.com/1995/11/12/world/rocket-attacks-kill-35-in-afghan-capital.html,1995-11-12
Refugee Afghan Women Need Help of Women,https://www.nytimes.com/1995/11/16/opinion/l-refugee-afghan-women-need-help-of-women-040983.html,1995-11-16
Fighting in Kabul Renewed,https://www.nytimes.com/1995/12/20/world/fighting-in-kabul-renewed.html,1995-12-20
A Film Made in Afghanistan Is a Post-Communist First,https://www.nytimes.com/1996/01/01/movies/a-film-made-in-afghanistan-is-a-post-communist-first.html,1996-01-01
Afghan Capital Grim as War Follows War,https://www.nytimes.com/1996/02/05/world/afghan-capital-grim-as-war-follows-war.html,1996-02-05
"The Fiercely Faithful -- A special report.;From Cold War, Afghans Inherit Brutal New Age",https://www.nytimes.com/1996/02/14/world/fiercely-faithful-special-report-cold-war-afghans-inherit-brutal-new-age.html,1996-02-14
NEWS SUMMARY,https://www.nytimes.com/1996/02/14/nyregion/news-summary-043974.html,1996-02-14
"THE WORLD;The West in Afghanistan, Before and After",https://www.nytimes.com/1996/02/18/weekinreview/the-world-the-west-in-afghanistan-before-and-after.html,1996-02-18
Abroad at Home;And We Walked Away,https://www.nytimes.com/1996/02/19/opinion/abroad-at-home-and-we-walked-away.html,1996-02-19
Suffering Afghans Reach Breaking Point,https://www.nytimes.com/1996/02/19/opinion/l-suffering-afghans-reach-breaking-point-055719.html,1996-02-19
Kabul Offers Power-Share,https://www.nytimes.com/1996/02/26/world/kabul-offers-power-share.html,1996-02-26
A Rebel Attack on Afghan Capital Kills 18,https://www.nytimes.com/1996/03/25/world/a-rebel-attack-on-afghan-capital-kills-18.html,1996-03-25
Pakistan Shifting Stance On Hard-Line Afghans,https://www.nytimes.com/1996/03/27/world/pakistan-shifting-stance-on-hard-line-afghans.html,1996-03-27
2 Afghan Factions Agree to Share Power,https://www.nytimes.com/1996/05/28/world/2-afghan-factions-agree-to-share-power.html,1996-05-28
World News Briefs;Afghans Get New Leader During Rebel Assault,https://www.nytimes.com/1996/06/27/world/world-news-briefs-afghans-get-new-leader-during-rebel-assault.html,1996-06-27
Saudi Exile Warns More Attacks Are Planned,https://www.nytimes.com/1996/07/11/world/saudi-exile-warns-more-attacks-are-planned.html,1996-07-11
Britain: Sacrificing the World Service to a Tabloid Agenda,https://www.nytimes.com/1996/08/01/opinion/IHT-britain-sacrificing-the-world-service-to-a-tabloid-agenda.html,1996-08-01
BBC News Agenda : LETTERS TO THE EDITOR,https://www.nytimes.com/1996/08/07/opinion/IHT-bbc-news-agenda-letters-to-the-editor.html,1996-08-07
U.N. Is Pressed to Name a Woman to an Afghan Peace Mission,https://www.nytimes.com/1996/09/15/world/un-is-pressed-to-name-a-woman-to-an-afghan-peace-mission.html,1996-09-15
Kabul Falls to Islamic Militia; Afghans Accuse Pakistan,https://www.nytimes.com/1996/09/26/world/kabul-falls-to-islamic-militia-afghans-accuse-pakistan.html,1996-09-26
Muslim Rebels Overrun Kabul,https://www.nytimes.com/1996/09/29/weekinreview/muslim-rebels-overrun-kabul.html,1996-09-29
New Afghan Rulers Shock Even Their Backers in Pakistan,https://www.nytimes.com/1996/09/30/world/new-afghan-rulers-shock-even-their-backers-in-pakistan.html,1996-09-30
NEWS SUMMARY,https://www.nytimes.com/1996/09/30/nyregion/news-summary-573620.html,1996-09-30
New Afghan Rulers Impose Harsh Mores Of the Islamic Code,https://www.nytimes.com/1996/10/01/world/new-afghan-rulers-impose-harsh-mores-of-the-islamic-code.html,1996-10-01
Afghanistan's New Rulers Soft-Pedal Their Hard Line,https://www.nytimes.com/1996/10/02/world/afghanistan-s-new-rulers-soft-pedal-their-hard-line.html,1996-10-02
